"","mean_epsilon.1","mean_epsilon.2"
"1",1.78446278983033,1.64158948772422
"2",1.29582790884628,2.39401982635525
"3",0.986977647077531,2.23863510204822
"4",1.92014067975815,2.10740142681568
"5",1.1502544374354,3.07945720915644
"6",1.49531161650024,2.70138004097264
"7",1.14644146060393,1.97573213078615
"8",1.36612892208095,1.98216466224023
"9",1.36888663634421,4.40381305720203
"10",1.40592918954302,2.2187725309446
"11",2.00504783940375,1.68156326871365
"12",2.26674947369532,1.70280500134103
"13",1.39866644751933,2.56328506952754
"14",1.37559081016809,1.37590927441201
"15",1.61912541036968,1.87098798840072
"16",2.15743893645419,1.61119740007776
"17",1.8474774936753,1.76137639739711
"18",1.84009283948857,2.9185179148615
"19",2.41409443644313,3.4964443052099
"20",2.16636270243531,1.66334613731694
"21",1.31783221788321,3.11394009108927
"22",1.91668461199057,1.73411264007941
"23",1.19735633832369,2.22584594643903
"24",1.67337919463355,2.62054885256702
"25",1.5726630822151,2.80447214619383
"26",2.17255721228086,3.53186119276426
"27",1.79659714044661,2.39189033035608
"28",0.9599805066613,1.78303295657195
"29",1.67117026842683,1.66675575939873
"30",1.32076741128811,1.8906171631612
"31",1.54247104479809,1.82998759969969
"32",1.50246965830545,3.74614647610693
"33",1.96837713694731,2.49964004920101
"34",1.94873830391009,1.3412139715207
"35",1.22162067165164,2.56510672419443
"36",0.635766400472098,2.42793134630199
"37",1.63311315445583,2.03934642064019
"38",2.17101627768643,1.77118640701058
"39",1.46843463203518,1.90988090488704
"40",1.74232940772609,2.39647478815826
"41",1.07468422406062,1.84629105759934
"42",1.03150857261202,2.67997589158851
"43",1.72219834101387,2.2868347611281
"44",0.805455541707378,1.69971542163683
"45",1.65093554943325,2.22376363042765
"46",1.47212152142937,2.40175119469497
"47",1.41826309604896,2.46605404228092
"48",1.33340811966207,2.83923801332616
"49",0.940194814176163,2.46189228909365
"50",1.82025867007266,2.45070488699773
"51",1.66249181266455,2.33897170788754
"52",1.53435856800013,2.28128628871971
"53",2.11521440249995,2.31162613456125
"54",1.40524426906882,3.15873830820164
"55",2.11998420697092,2.42210935399701
"56",0.924300166383756,2.1476748070607
"57",1.16644938930028,1.69629007585006
"58",1.28177086292541,2.64562542331207
"59",3.01972900021761,1.80538680862353
"60",1.03615046575571,2.18012143811636
"61",1.20052721404167,1.46762649750512
"62",2.88503838180031,1.34708631022033
"63",1.31710405401319,2.13250881856375
"64",0.947838861086039,2.19671386956119
"65",1.13236192519726,1.85353143710604
"66",1.19846873633645,1.92895699200326
"67",1.16394375543308,2.65283813207275
"68",1.91682581251419,2.67004944874416
"69",1.29689423650911,2.78556505870823
"70",2.00235766033525,3.30812141973835
"71",1.81030862347199,1.34382711134558
"72",1.9983770908137,1.56391240255821
"73",1.95541339148422,2.15212031980502
"74",1.60957705001567,2.46175786542389
"75",1.441996545919,1.64979526934639
"76",2.15806082036118,2.16544814734272
"77",1.29938791125376,0.717739350145087
"78",1.78651226532694,2.02034222318729
"79",1.86329516435715,1.85165748471062
"80",2.7151155486376,2.91658037010568
"81",1.28338965838798,2.26208632093457
"82",1.51903954668797,1.23345592979798
